filename,n_bytes,raw_write_rate_mibs,net_write_rate_mibs,created
lfric_ppvar_2021060201-2021060202.nc,1314022020,1438.956,1162.12,2025-11-27 18:22:30.210320
lfric_gl_std_levs_diags_1hr_2021060200-2021060203.nc,1573424674,451.122,400.893,2025-11-27 18:22:30.210320
lfric_gl_std_levs_diags_3hr_2021060200-2021060203.nc,114693348,1857.233,1184.759,2025-11-27 18:22:30.210320
lfric_gl_model_levs_diags_1hr_2021060200-2021060203.nc,5919016625,1371.318,1088.453,2025-11-27 18:22:30.210320
lfric_ppvar_2021060202-2021060203.nc,1314022020,1492.046,1169.519,2025-11-27 18:22:30.210320
lfric_ppvar_2021060203-2021060204.nc,1314022020,1461.44,1177.959,2025-11-27 18:22:30.210320
lfric_name_2021060200-2021060203.nc,862536694,1304.628,1026.243,2025-11-27 18:22:30.210320
lfric_ppvar_2021060204-2021060205.nc,1314022020,1557.003,1154.101,2025-11-27 18:22:30.210320
lfric_gl_model_levs_diags_3hr_2021060200-2021060203.nc,464964589,1452.385,1158.538,2025-11-27 18:22:30.210320
lfric_gl_std_levs_diags_1hr_2021060203-2021060206.nc,1573424674,506.018,454.201,2025-11-27 18:22:30.210320
lfric_gl_std_levs_diags_3hr_2021060203-2021060206.nc,114693348,1109.863,829.71,2025-11-27 18:22:30.210320
lfric_gl_model_levs_diags_1hr_2021060203-2021060206.nc,5919016625,1465.683,1186.931,2025-11-27 18:22:30.210320
lfric_ppvar_2021060205-2021060206.nc,1314022020,1486.342,1221.352,2025-11-27 18:22:30.210320
lfric_ppvar_2021060206-2021060207.nc,1314022020,1664.015,1344.662,2025-11-27 18:22:30.210320
lfric_name_2021060203-2021060206.nc,862536694,1159.702,951.461,2025-11-27 18:22:30.210320
lfric_ppvar_2021060207-2021060208.nc,1314022020,1499.144,1237.153,2025-11-27 18:22:30.210320
lfric_gl_model_levs_diags_3hr_2021060203-2021060206.nc,464964589,1554.898,1260.78,2025-11-27 18:22:30.210320
lfric_gl_std_levs_diags_1hr_2021060206-2021060209.nc,1573424674,457.22,418.196,2025-11-27 18:22:30.210320
lfric_gl_std_levs_diags_3hr_2021060206-2021060209.nc,114693348,1811.023,1186.37,2025-11-27 18:22:30.210320
lfric_gl_model_levs_diags_1hr_2021060206-2021060209.nc,5919016625,1387.414,1145.278,2025-11-27 18:22:30.210320
lfric_ppvar_2021060208-2021060209.nc,1314022020,1585.755,1255.17,2025-11-27 18:22:30.210320
lfric_ppvar_2021060209-2021060210.nc,1314022020,1734.322,1363.172,2025-11-27 18:22:30.210320
lfric_name_2021060206-2021060209.nc,862536694,1123.198,898.928,2025-11-27 18:22:30.210320
lfric_ppvar_2021060210-2021060211.nc,1314022020,1475.612,1202.148,2025-11-27 18:22:30.210320
lfric_gl_model_levs_diags_3hr_2021060206-2021060209.nc,464964589,1154.292,963.018,2025-11-27 18:22:30.210320
lfric_gl_std_levs_diags_1hr_2021060209-2021060212.nc,1573424674,476.815,435.684,2025-11-27 18:22:30.210320
lfric_gl_std_levs_diags_3hr_2021060209-2021060212.nc,114693348,1709.59,1145.549,2025-11-27 18:22:30.210320
lfric_gl_model_levs_diags_1hr_2021060209-2021060212.nc,5919016625,1346.548,1123.942,2025-11-27 18:22:30.210320
lfric_ppvar_2021060211-2021060212.nc,1314022020,1334.172,1105.504,2025-11-27 18:22:30.210320
lfric_ppvar_2021060212-2021060213.nc,1314022020,1519.313,1228.971,2025-11-27 18:22:30.210320
lfric_name_2021060209-2021060212.nc,862536694,1284.641,1055.137,2025-11-27 18:22:30.210320
lfric_ppvar_2021060213-2021060214.nc,1314022020,1669.263,1327.827,2025-11-27 18:22:30.210320
lfric_gl_model_levs_diags_3hr_2021060209-2021060212.nc,464964589,1493.075,1190.379,2025-11-27 18:22:30.210320
lfric_gl_std_levs_diags_1hr_2021060212-2021060215.nc,1573424674,468.628,428.69,2025-11-27 18:22:30.210320
lfric_gl_std_levs_diags_3hr_2021060212-2021060215.nc,114693348,1287.591,941.585,2025-11-27 18:22:30.210320
lfric_gl_model_levs_diags_1hr_2021060212-2021060215.nc,5919016625,1214.076,1028.68,2025-11-27 18:22:30.210320
lfric_ppvar_2021060214-2021060215.nc,1314022020,1309.249,1086.86,2025-11-27 18:22:30.210320
lfric_ppvar_2021060215-2021060216.nc,1314022020,1551.568,1247.016,2025-11-27 18:22:30.210320
